depth,force
0.000000,202.765332
0.366667,203.458784
0.766667,206.802214
1.133333,206.802214
1.533333,203.458784
1.933333,206.059230
2.300000,204.449430
2.700000,203.755978
3.100000,203.755978
3.466667,203.755978
3.833333,203.755978
4.266667,203.755978
4.633333,201.130767
5.033333,203.755978
5.400000,206.628851
5.800000,205.885867
6.200000,206.331657
6.566667,207.470900
6.966667,207.470900
8.366667,207.470900
8.733333,206.331657
9.133333,206.331657
9.533333,206.331657
9.900000,204.251301
10.266667,198.059765
10.666667,198.059765
11.066667,198.059765
11.433333,196.326134
11.833333,196.326134
12.233333,203.260655
